p_key,country1,country2,country3,country4,country5,amount,transaction_date,Path,Path_length
2990074,United Kingdom,Russia,Russia,Turkey,,37164.0,2019-02-28T16:04:26.000Z,United Kingdom_Russia_Turkey,3
2990075,,United Kingdom,,Spain,Turkey,25927.0,2019-02-28T16:04:28.000Z,United Kingdom_Spain_Turkey,3
2990076,Mexico,Spain,,Greece,,22835.0,2019-02-28T16:04:31.000Z,Mexico_Spain_Greece,3
2990077,,Russia,,Spain,Mexico,35582.0,2019-02-28T16:04:32.000Z,Russia_Spain_Mexico,3
2990078,United Kingdom,Spain,Spain,,,38415.0,2019-02-28T16:04:32.000Z,United Kingdom_Spain,2
2990079,Spain,,United Kingdom,Russia,Turkey,91101.0,2019-02-28T16:04:34.000Z,Spain_United Kingdom_Russia_Turkey,4
2990080,Spain,,Israel,,United Kingdom,91607.0,2019-02-28T16:04:35.000Z,Spain_Israel_United Kingdom,3
2990081,Spain,Turkey,United Kingdom,United Kingdom,Greece,66771.0,2019-02-28T16:04:37.000Z,Spain_Turkey_United Kingdom_Greece,4
2990082,,Spain,United Kingdom,Israel,,92992.0,2019-02-28T16:04:37.000Z,Spain_United Kingdom_Israel,3
2990083,Greece,Mexico,Spain,Russia,Russia,95238.0,2019-02-28T16:04:39.000Z,Greece_Mexico_Spain_Russia,4
2990084,Spain,United Kingdom,Mexico,Greece,Turkey,26126.0,2019-02-28T16:04:42.000Z,Spain_United Kingdom_Mexico_Greece_Turkey,5
2990085,United Kingdom,,Mexico,Russia,Turkey,62550.0,2019-02-28T16:04:42.000Z,United Kingdom_Mexico_Russia_Turkey,4
2990086,Greece,Mexico,Russia,Spain,Israel,24673.0,2019-02-28T16:04:44.000Z,Greece_Mexico_Russia_Spain_Israel,5
2990087,Greece,,Mexico,United Kingdom,,47400.0,2019-02-28T16:04:44.000Z,Greece_Mexico_United Kingdom,3
2990088,Israel,,Greece,Mexico,,45694.0,2019-02-28T16:04:45.000Z,Israel_Greece_Mexico,3
2990089,Russia,Greece,United Kingdom,Spain,,25061.0,2019-02-28T16:04:48.000Z,Russia_Greece_United Kingdom_Spain,4
2990090,Greece,,Mexico,Israel,Turkey,24248.0,2019-02-28T16:04:49.000Z,Greece_Mexico_Israel_Turkey,4
2990091,Mexico,Russia,,Mexico,Israel,43759.0,2019-02-28T16:04:51.000Z,Mexico_Russia_Mexico_Israel,4
2990092,Israel,,Mexico,,Greece,97194.0,2019-02-28T16:04:51.000Z,Israel_Mexico_Greece,3
2990093,Russia,Greece,Spain,,Mexico,89947.0,2019-02-28T16:04:52.000Z,Russia_Greece_Spain_Mexico,4
2990094,,Greece,Russia,Turkey,Mexico,73286.0,2019-02-28T16:04:52.000Z,Greece_Russia_Turkey_Mexico,4
2990095,,,Spain,Spain,Russia,47339.0,2019-02-28T16:04:55.000Z,Spain_Russia,2
2990096,Mexico,Russia,Israel,Israel,United Kingdom,65242.0,2019-02-28T16:04:56.000Z,Mexico_Russia_Israel_United Kingdom,4
2990097,,United Kingdom,Israel,Russia,,66822.0,2019-02-28T16:04:58.000Z,United Kingdom_Israel_Russia,3
2990098,Israel,United Kingdom,Spain,Greece,Russia,93976.0,2019-02-28T16:04:58.000Z,Israel_United Kingdom_Spain_Greece_Russia,5
2990099,,Turkey,United Kingdom,,United Kingdom,94310.0,2019-02-28T16:05:00.000Z,Turkey_United Kingdom,2
2990100,United Kingdom,,Greece,Mexico,,32334.0,2019-02-28T16:05:01.000Z,United Kingdom_Greece_Mexico,3
2990101,,Israel,Russia,Mexico,Turkey,45866.0,2019-02-28T16:05:10.000Z,Israel_Russia_Mexico_Turkey,4
2990102,Turkey,Russia,Mexico,,,89844.0,2019-02-28T16:05:10.000Z,Turkey_Russia_Mexico,3
2990103,Mexico,United Kingdom,,Russia,Mexico,20009.0,2019-02-28T16:05:11.000Z,Mexico_United Kingdom_Russia_Mexico,4
2990104,Spain,Greece,Mexico,Greece,United Kingdom,24043.0,2019-02-28T16:05:11.000Z,Spain_Greece_Mexico_Greece_United Kingdom,5
2990105,Mexico,Mexico,Turkey,Russia,,62587.0,2019-02-28T16:05:16.000Z,Mexico_Turkey_Russia,3
2990106,Israel,Mexico,United Kingdom,Mexico,,58149.0,2019-02-28T16:05:17.000Z,Israel_Mexico_United Kingdom_Mexico,4
2990107,,Spain,,Israel,Mexico,15296.0,2019-02-28T16:05:18.000Z,Spain_Israel_Mexico,3
2990108,,Greece,,Israel,Mexico,83020.0,2019-02-28T16:05:26.000Z,Greece_Israel_Mexico,3
2990109,Russia,Israel,United Kingdom,,Greece,7631.0,2019-02-28T16:05:29.000Z,Russia_Israel_United Kingdom_Greece,4
2990110,Mexico,,Turkey,Turkey,Greece,81786.0,2019-02-28T16:05:30.000Z,Mexico_Turkey_Greece,3
2990111,Greece,Mexico,,Mexico,,65193.0,2019-02-28T16:05:30.000Z,Greece_Mexico,2
2990112,,Israel,United Kingdom,Russia,Greece,52266.0,2019-02-28T16:05:31.000Z,Israel_United Kingdom_Russia_Greece,4
2990113,United Kingdom,Spain,Greece,Turkey,Russia,54160.0,2019-02-28T16:05:32.000Z,United Kingdom_Spain_Greece_Turkey_Russia,5
2990114,Spain,Israel,Turkey,,Greece,96674.0,2019-02-28T16:05:35.000Z,Spain_Israel_Turkey_Greece,4
2990115,Turkey,,,Israel,Russia,79888.0,2019-02-28T16:05:35.000Z,Turkey_Israel_Russia,3
2990116,,Spain,Mexico,Turkey,,26751.0,2019-02-28T16:05:38.000Z,Spain_Mexico_Turkey,3
2990117,Israel,Russia,Turkey,,United Kingdom,11906.0,2019-02-28T16:05:39.000Z,Israel_Russia_Turkey_United Kingdom,4
2990118,,Israel,Mexico,Russia,Greece,63221.0,2019-02-28T16:05:39.000Z,Israel_Mexico_Russia_Greece,4
2990119,Russia,,,United Kingdom,United Kingdom,65694.0,2019-02-28T16:05:41.000Z,Russia_United Kingdom,2
2990120,United Kingdom,United Kingdom,,Mexico,Russia,94778.0,2019-02-28T16:05:43.000Z,United Kingdom_Mexico_Russia,3
2990121,Greece,Spain,Spain,Greece,,23055.0,2019-02-28T16:05:43.000Z,Greece_Spain_Greece,3
2990122,Mexico,Israel,Russia,Turkey,Spain,14953.0,2019-02-28T16:05:49.000Z,Mexico_Israel_Russia_Turkey_Spain,5
2990123,Turkey,Greece,United Kingdom,Greece,United Kingdom,78818.0,2019-02-28T16:05:50.000Z,Turkey_Greece_United Kingdom_Greece_United Kingdom,5
2990124,Russia,Greece,,,Greece,29580.0,2019-02-28T16:05:50.000Z,Russia_Greece,2
2990125,,Israel,Russia,,Turkey,46122.0,2019-02-28T16:05:53.000Z,Israel_Russia_Turkey,3
2990126,Mexico,Russia,Spain,Israel,,74707.0,2019-02-28T16:05:58.000Z,Mexico_Russia_Spain_Israel,4
2990127,,Mexico,Turkey,Russia,Israel,6764.0,2019-02-28T16:06:00.000Z,Mexico_Turkey_Russia_Israel,4
2990128,United Kingdom,Mexico,Israel,,,74945.0,2019-02-28T16:06:01.000Z,United Kingdom_Mexico_Israel,3
2990129,United Kingdom,Spain,Greece,,Israel,24411.0,2019-02-28T16:06:05.000Z,United Kingdom_Spain_Greece_Israel,4
2990130,,Turkey,Russia,,Spain,23138.0,2019-02-28T16:06:11.000Z,Turkey_Russia_Spain,3
2990131,Mexico,Turkey,Turkey,Spain,United Kingdom,70965.0,2019-02-28T16:06:14.000Z,Mexico_Turkey_Spain_United Kingdom,4
2990132,Mexico,Spain,Mexico,,Russia,23586.0,2019-02-28T16:06:15.000Z,Mexico_Spain_Mexico_Russia,4
2990133,Israel,,Israel,Spain,United Kingdom,92354.0,2019-02-28T16:06:15.000Z,Israel_Spain_United Kingdom,3
2990134,Greece,Spain,Russia,Mexico,United Kingdom,72087.0,2019-02-28T16:06:17.000Z,Greece_Spain_Russia_Mexico_United Kingdom,5
2990135,Israel,Mexico,,Israel,Spain,70510.0,2019-02-28T16:06:17.000Z,Israel_Mexico_Israel_Spain,4
2990136,United Kingdom,Spain,Mexico,Russia,Turkey,9169.0,2019-02-28T16:06:17.000Z,United Kingdom_Spain_Mexico_Russia_Turkey,5
2990137,Spain,Greece,,Russia,Mexico,55731.0,2019-02-28T16:06:19.000Z,Spain_Greece_Russia_Mexico,4
2990138,Spain,Mexico,Russia,,Turkey,18276.0,2019-02-28T16:06:19.000Z,Spain_Mexico_Russia_Turkey,4
2990139,,,United Kingdom,Israel,Turkey,16518.0,2019-02-28T16:06:20.000Z,United Kingdom_Israel_Turkey,3
2990140,Russia,Russia,Mexico,United Kingdom,,47185.0,2019-02-28T16:06:22.000Z,Russia_Mexico_United Kingdom,3
2990141,Spain,Greece,United Kingdom,,Russia,30725.0,2019-02-28T16:06:25.000Z,Spain_Greece_United Kingdom_Russia,4
2990142,Greece,,Israel,United Kingdom,Mexico,41364.0,2019-02-28T16:06:27.000Z,Greece_Israel_United Kingdom_Mexico,4
2990143,Mexico,Greece,Russia,Turkey,Spain,5208.0,2019-02-28T16:06:28.000Z,Mexico_Greece_Russia_Turkey_Spain,5
2990144,Mexico,Greece,Spain,United Kingdom,Israel,9136.0,2019-02-28T16:06:30.000Z,Mexico_Greece_Spain_United Kingdom_Israel,5
2990145,Mexico,Israel,Greece,,United Kingdom,24885.0,2019-02-28T16:06:33.000Z,Mexico_Israel_Greece_United Kingdom,4
2990146,,United Kingdom,Israel,,Spain,84721.0,2019-02-28T16:06:34.000Z,United Kingdom_Israel_Spain,3
2990147,Mexico,Greece,Russia,Mexico,Russia,94908.0,2019-02-28T16:06:35.000Z,Mexico_Greece_Russia_Mexico_Russia,5
2990148,,,Mexico,,Russia,34283.0,2019-02-28T16:06:36.000Z,Mexico_Russia,2
2990149,Russia,,Mexico,United Kingdom,,54735.0,2019-02-28T16:06:36.000Z,Russia_Mexico_United Kingdom,3
2990150,Israel,,United Kingdom,Greece,,55014.0,2019-02-28T16:06:41.000Z,Israel_United Kingdom_Greece,3
2990151,,Greece,Russia,Spain,Turkey,29484.0,2019-02-28T16:06:42.000Z,Greece_Russia_Spain_Turkey,4
2990152,United Kingdom,Spain,Greece,Mexico,Turkey,41462.0,2019-02-28T16:06:44.000Z,United Kingdom_Spain_Greece_Mexico_Turkey,5
2990153,Spain,Israel,Russia,Russia,Israel,7596.0,2019-02-28T16:06:44.000Z,Spain_Israel_Russia_Israel,4
2990154,Russia,Spain,,Israel,,6496.0,2019-02-28T16:06:47.000Z,Russia_Spain_Israel,3
2990155,Spain,Turkey,,Mexico,Turkey,20038.0,2019-02-28T16:06:48.000Z,Spain_Turkey_Mexico_Turkey,4
2990156,Russia,Spain,Greece,Greece,Greece,39364.0,2019-02-28T16:06:49.000Z,Russia_Spain_Greece,3
2990157,Israel,United Kingdom,Israel,Greece,United Kingdom,73709.0,2019-02-28T16:06:49.000Z,Israel_United Kingdom_Israel_Greece_United Kingdom,5
2990158,,,Spain,,Israel,7445.0,2019-02-28T16:06:53.000Z,Spain_Israel,2
2990159,Turkey,Israel,Greece,United Kingdom,Russia,64956.0,2019-02-28T16:06:54.000Z,Turkey_Israel_Greece_United Kingdom_Russia,5
2990160,,Spain,Mexico,Israel,Russia,46867.0,2019-02-28T16:06:57.000Z,Spain_Mexico_Israel_Russia,4
2990162,Israel,Russia,,United Kingdom,Turkey,8087.0,2019-02-28T16:06:59.000Z,Israel_Russia_United Kingdom_Turkey,4
2990163,Spain,Russia,Turkey,Mexico,Mexico,41945.0,2019-02-28T16:06:59.000Z,Spain_Russia_Turkey_Mexico,4
2990164,,,Israel,Turkey,Mexico,80984.0,2019-02-28T16:07:01.000Z,Israel_Turkey_Mexico,3
2990165,Russia,,Russia,Russia,Spain,53548.0,2019-02-28T16:07:03.000Z,Russia_Spain,2
2990166,Greece,Mexico,Spain,Russia,Mexico,62490.0,2019-02-28T16:07:06.000Z,Greece_Mexico_Spain_Russia_Mexico,5
2990167,Spain,Turkey,Greece,,Greece,42827.0,2019-02-28T16:07:06.000Z,Spain_Turkey_Greece,3
2990168,Greece,Israel,,,United Kingdom,85159.0,2019-02-28T16:07:07.000Z,Greece_Israel_United Kingdom,3
2990169,United Kingdom,Turkey,Spain,United Kingdom,Greece,77739.0,2019-02-28T16:07:10.000Z,United Kingdom_Turkey_Spain_United Kingdom_Greece,5
2990170,United Kingdom,Turkey,,Israel,,86900.0,2019-02-28T16:07:13.000Z,United Kingdom_Turkey_Israel,3
2990171,,Greece,United Kingdom,Spain,,46956.0,2019-02-28T16:07:20.000Z,Greece_United Kingdom_Spain,3
2990172,Israel,Turkey,Greece,Turkey,Turkey,56274.0,2019-02-28T16:07:21.000Z,Israel_Turkey_Greece_Turkey,4
2990173,Turkey,Russia,United Kingdom,Russia,,49244.0,2019-02-28T16:07:23.000Z,Turkey_Russia_United Kingdom_Russia,4
2990174,,Greece,Turkey,Mexico,Israel,20449.0,2019-02-28T16:07:23.000Z,Greece_Turkey_Mexico_Israel,4
2990175,Russia,Israel,Turkey,Greece,United Kingdom,83096.0,2019-02-28T16:07:23.000Z,Russia_Israel_Turkey_Greece_United Kingdom,5
2990176,,Russia,,United Kingdom,Greece,7646.0,2019-02-28T16:07:25.000Z,Russia_United Kingdom_Greece,3
2990177,Greece,Russia,,Russia,Mexico,1573.0,2019-02-28T16:07:30.000Z,Greece_Russia_Mexico,3
2990178,Mexico,Greece,United Kingdom,Turkey,,68192.0,2019-02-28T16:07:35.000Z,Mexico_Greece_United Kingdom_Turkey,4
2990179,United Kingdom,,Israel,Turkey,Russia,70199.0,2019-02-28T16:07:36.000Z,United Kingdom_Israel_Turkey_Russia,4
2990180,,Israel,Russia,Turkey,Mexico,52400.0,2019-02-28T16:07:41.000Z,Israel_Russia_Turkey_Mexico,4
2990181,Mexico,Mexico,Israel,Israel,United Kingdom,75426.0,2019-02-28T16:07:42.000Z,Mexico_Israel_United Kingdom,3
2990182,,Spain,Turkey,Russia,Greece,97114.0,2019-02-28T16:07:54.000Z,Spain_Turkey_Russia_Greece,4
2990184,Russia,United Kingdom,Russia,,Israel,31655.0,2019-02-28T16:07:57.000Z,Russia_United Kingdom_Russia_Israel,4
2990185,,United Kingdom,Israel,Mexico,United Kingdom,29759.0,2019-02-28T16:08:00.000Z,United Kingdom_Israel_Mexico_United Kingdom,4
2990186,,Spain,Spain,Greece,United Kingdom,87569.0,2019-02-28T16:08:00.000Z,Spain_Greece_United Kingdom,3
2990187,Mexico,Mexico,,Spain,Israel,42250.0,2019-02-28T16:08:02.000Z,Mexico_Spain_Israel,3
2990188,Greece,Mexico,Turkey,United Kingdom,Spain,49664.0,2019-02-28T16:08:02.000Z,Greece_Mexico_Turkey_United Kingdom_Spain,5
2990189,,Mexico,,Greece,Spain,94459.0,2019-02-28T16:08:04.000Z,Mexico_Greece_Spain,3
2990190,Spain,Mexico,Turkey,United Kingdom,Israel,64703.0,2019-02-28T16:08:13.000Z,Spain_Mexico_Turkey_United Kingdom_Israel,5
2990191,United Kingdom,Israel,United Kingdom,Israel,,93549.0,2019-02-28T16:08:15.000Z,United Kingdom_Israel_United Kingdom_Israel,4
2990192,,,,Turkey,Greece,16297.0,2019-02-28T16:08:22.000Z,Turkey_Greece,2
2990193,Mexico,Mexico,Spain,,Mexico,84859.0,2019-02-28T16:08:24.000Z,Mexico_Spain_Mexico,3
2990194,,,Israel,Mexico,Greece,55594.0,2019-02-28T16:08:25.000Z,Israel_Mexico_Greece,3
2990195,Turkey,Russia,,Spain,Turkey,47200.0,2019-02-28T16:08:28.000Z,Turkey_Russia_Spain_Turkey,4
2990196,Israel,Spain,Russia,,,29021.0,2019-02-28T16:08:28.000Z,Israel_Spain_Russia,3
2990197,,Turkey,Turkey,Greece,United Kingdom,23200.0,2019-02-28T16:08:30.000Z,Turkey_Greece_United Kingdom,3
2990198,Spain,Israel,United Kingdom,Greece,,8656.0,2019-02-28T16:08:33.000Z,Spain_Israel_United Kingdom_Greece,4
2990199,,Turkey,,,Mexico,53807.0,2019-02-28T16:08:34.000Z,Turkey_Mexico,2
2990200,Greece,Mexico,Turkey,,,21172.0,2019-02-28T16:08:37.000Z,Greece_Mexico_Turkey,3
2990201,United Kingdom,,Israel,Greece,Greece,22223.0,2019-02-28T16:08:39.000Z,United Kingdom_Israel_Greece,3
2990202,Russia,Israel,Mexico,Mexico,,66506.0,2019-02-28T16:08:39.000Z,Russia_Israel_Mexico,3
2990203,Israel,United Kingdom,Russia,Greece,,45345.0,2019-02-28T16:08:40.000Z,Israel_United Kingdom_Russia_Greece,4
2990204,Greece,Spain,Mexico,,Israel,61273.0,2019-02-28T16:08:43.000Z,Greece_Spain_Mexico_Israel,4
2990205,Russia,,Mexico,Mexico,Greece,41511.0,2019-02-28T16:08:44.000Z,Russia_Mexico_Greece,3
2990206,Greece,Israel,,,,92932.0,2019-02-28T16:08:44.000Z,Greece_Israel,2
2990207,Israel,United Kingdom,,Greece,Russia,4783.0,2019-02-28T16:08:45.000Z,Israel_United Kingdom_Greece_Russia,4
2990208,Russia,,Turkey,Greece,,74802.0,2019-02-28T16:08:47.000Z,Russia_Turkey_Greece,3
2990209,,Mexico,Turkey,Greece,,65493.0,2019-02-28T16:08:47.000Z,Mexico_Turkey_Greece,3
2990211,,Israel,,Mexico,Israel,75518.0,2019-02-28T16:08:52.000Z,Israel_Mexico_Israel,3
2990212,Israel,Russia,,Spain,,25489.0,2019-02-28T16:08:54.000Z,Israel_Russia_Spain,3
2990213,United Kingdom,,Russia,,United Kingdom,39750.0,2019-02-28T16:08:56.000Z,United Kingdom_Russia_United Kingdom,3
2990214,,Mexico,Greece,,Spain,96011.0,2019-02-28T16:08:56.000Z,Mexico_Greece_Spain,3
2990215,Russia,Turkey,Mexico,,Israel,39982.0,2019-02-28T16:08:56.000Z,Russia_Turkey_Mexico_Israel,4
2990216,Israel,,Greece,United Kingdom,Russia,41913.0,2019-02-28T16:08:57.000Z,Israel_Greece_United Kingdom_Russia,4
2990217,Turkey,Greece,Israel,Israel,Turkey,48859.0,2019-02-28T16:08:57.000Z,Turkey_Greece_Israel_Turkey,4
2990218,,United Kingdom,,,Spain,31014.0,2019-02-28T16:08:58.000Z,United Kingdom_Spain,2
